order_id,order_date,supplier_id,analyst_id,num_skus,total_cost,sale_amount,margin,margin_pct,status,delivery_date
OC000050,2024-05-01 04:18:54.708345,SUP0016,AN001,5,6172843.9,7454701.17,1281857.27,20.77,Completed,2024-05-05 04:18:54.708345
OC000051,2024-03-05 13:38:38.346921,SUP0018,AN003,25,23449320.04,26480574.09,3031254.05,12.93,Completed,2024-03-31 13:38:38.346921
OC000052,2024-04-17 09:27:02.686333,SUP0033,AN001,2,1897838.9,2241531.92,343693.02,18.11,Completed,2024-04-20 09:27:02.686333
OC000053,2024-11-14 12:04:40.818651,SUP0032,AN002,3,1015750.24,1093495.72,77745.48,7.65,Completed,2024-12-03 12:04:40.818651
OC000054,2024-01-14 09:38:36.451882,SUP0005,AN005,2,170707.16,202991.2,32284.04,18.91,Completed,2024-02-13 09:38:36.451882
OC000055,2024-02-17 16:58:55.956432,SUP0009,AN005,1,639953.44,733092.29,93138.85,14.55,Completed,2024-03-03 16:58:55.956432
OC000056,2024-10-10 11:36:14.168996,SUP0024,AN001,5,4925156.58,5306491.06,381334.48,7.74,Completed,2024-11-02 11:36:14.168996
OC000057,2024-05-29 03:07:11.974529,SUP0041,AN007,3,3713308.01,4292961.54,579653.53,15.61,Completed,2024-06-20 03:07:11.974529
OC000058,2024-05-20 12:46:24.904490,SUP0050,AN001,5,8943565.42,10729181.95,1785616.53,19.97,Pending,2024-06-11 12:46:24.904490
OC000059,2024-05-28 21:51:33.020574,SUP0030,AN008,2,926328.84,1138753.26,212424.42,22.93,Completed,2024-06-24 21:51:33.020574
OC000060,2024-09-08 18:29:07.021364,SUP0016,AN004,8,4435658.64,4877260.73,441602.09,9.96,Completed,2024-09-18 18:29:07.021364
OC000061,2024-08-08 09:20:16.413160,SUP0035,AN006,3,6045044.5,6691768.52,646724.02,10.7,Completed,2024-09-07 09:20:16.413160
OC000062,2024-07-02 17:09:28.731045,SUP0011,AN004,8,12957369.33,14620450.32,1663080.99,12.84,Completed,2024-07-30 17:09:28.731045
OC000063,2024-09-17 02:34:27.544492,SUP0043,AN001,15,12972638.74,15854676.5,2882037.76,22.22,Pending,2024-10-01 02:34:27.544492
OC000064,2024-07-05 17:47:46.237213,SUP0045,AN004,5,6829052.16,8474106.61,1645054.45,24.09,Completed,2024-07-08 17:47:46.237213
OC000065,2024-06-30 10:29:27.755727,SUP0043,AN004,1,1659472.92,1764860.26,105387.34,6.35,Completed,2024-07-09 10:29:27.755727
OC000066,2024-03-30 02:39:57.144855,SUP0015,AN006,8,8839493.65,10015910.03,1176416.38,13.31,Pending,2024-04-04 02:39:57.144855
OC000067,2024-07-18 19:31:48.702190,SUP0005,AN007,1,2544218.92,2944457.54,400238.62,15.73,Completed,2024-07-29 19:31:48.702190
OC000068,2024-11-12 13:00:38.225488,SUP0034,AN006,15,20042661.6,23845459.53,3802797.93,18.97,Completed,2024-11-16 13:00:38.225488
OC000069,2024-04-26 22:54:57.365863,SUP0021,AN004,5,5723260.41,6710290.23,987029.82,17.25,Completed,2024-05-08 22:54:57.365863
OC000070,2024-12-17 05:41:17.758570,SUP0012,AN003,8,8076583.93,8498747.95,422164.02,5.23,Pending,2024-12-31 05:41:17.758570
OC000071,2024-09-23 05:20:30.784969,SUP0007,AN006,25,29262889.12,32833686.7,3570797.58,12.2,Pending,2024-10-23 05:20:30.784969
OC000072,2024-05-11 23:17:41.929801,SUP0020,AN008,5,5101188.95,6268614.83,1167425.88,22.89,Completed,2024-05-21 23:17:41.929801
OC000073,2024-08-13 20:43:20.437884,SUP0028,AN001,3,92785.51,101962.95,9177.44,9.89,Pending,2024-08-27 20:43:20.437884
OC000074,2024-09-15 18:59:35.785754,SUP0049,AN004,8,12345135.37,13997826.3,1652690.93,13.39,Completed,2024-09-25 18:59:35.785754
OC000075,2024-05-05 20:21:05.295404,SUP0021,AN001,8,6112650.45,7241443.92,1128793.47,18.47,Completed,2024-05-13 20:21:05.295404
OC000076,2024-08-22 03:38:37.340402,SUP0013,AN008,1,976965.86,1217575.72,240609.86,24.63,Pending,2024-08-27 03:38:37.340402
OC000077,2024-05-12 11:44:22.798039,SUP0018,AN006,15,14896562.54,16364124.19,1467561.65,9.85,Completed,2024-06-02 11:44:22.798039
OC000078,2024-12-25 19:21:45.782183,SUP0050,AN008,2,5731663.46,6242265.75,510602.29,8.91,Completed,2025-01-01 19:21:45.782183
OC000079,2024-09-03 01:08:22.598362,SUP0041,AN001,1,193055.15,203631.11,10575.96,5.48,Completed,2024-09-26 01:08:22.598362
OC000080,2024-11-22 14:19:41.086152,SUP0041,AN006,3,2019843.31,2427419.07,407575.76,20.18,Pending,2024-12-22 14:19:41.086152
OC000081,2024-11-16 12:38:39.709600,SUP0044,AN007,25,28627276.77,32952444.71,4325167.94,15.11,Pending,2024-11-21 12:38:39.709600
OC000082,2024-02-18 22:14:56.010429,SUP0002,AN007,2,6354219.41,6751082.18,396862.77,6.25,Completed,2024-02-28 22:14:56.010429
OC000083,2024-12-13 01:44:15.347034,SUP0039,AN003,8,14344854.18,15732320.69,1387466.51,9.67,Completed,2024-12-20 01:44:15.347034
OC000084,2024-01-29 19:34:47.494101,SUP0016,AN006,2,707804.44,765194.72,57390.28,8.11,Completed,2024-02-15 19:34:47.494101
OC000085,2024-02-17 15:49:59.930495,SUP0034,AN002,5,6827588.57,7658215.85,830627.28,12.17,Completed,2024-03-05 15:49:59.930495
OC000086,2024-06-02 01:23:46.199578,SUP0017,AN006,2,365984.2,390901.93,24917.73,6.81,Completed,2024-07-01 01:23:46.199578
OC000087,2024-06-30 11:13:15.792332,SUP0031,AN001,5,5059184.79,5404436.62,345251.83,6.82,Completed,2024-07-14 11:13:15.792332
OC000088,2024-09-21 04:02:15.206156,SUP0028,AN004,1,601470.03,693309.65,91839.62,15.27,Completed,2024-10-02 04:02:15.206156
OC000089,2024-06-13 22:46:02.622468,SUP0012,AN005,1,1082825.74,1143698.33,60872.59,5.62,Pending,2024-07-13 22:46:02.622468
OC000090,2024-10-26 09:45:47.103767,SUP0002,AN007,3,6542832.72,7589844.15,1047011.43,16.0,Completed,2024-11-12 09:45:47.103767
OC000091,2024-02-07 00:18:17.062937,SUP0023,AN004,15,9403670.76,10969050.56,1565379.8,16.65,Completed,2024-03-07 00:18:17.062937
OC000092,2024-06-28 18:39:04.559511,SUP0025,AN008,50,49156740.18,57815743.11,8659002.93,17.62,Completed,2024-07-13 18:39:04.559511
OC000093,2024-05-14 23:40:25.851796,SUP0049,AN003,15,18711704.17,19756952.92,1045248.75,5.59,Completed,2024-05-18 23:40:25.851796
OC000094,2024-07-12 15:18:33.971099,SUP0037,AN007,1,2114818.15,2444489.66,329671.51,15.59,Completed,2024-07-20 15:18:33.971099
OC000095,2024-03-16 04:07:50.943733,SUP0004,AN003,1,1165738.45,1280249.59,114511.14,9.82,Completed,2024-04-12 04:07:50.943733
OC000096,2024-07-24 23:14:18.529146,SUP0044,AN002,5,6719916.42,7292588.19,572671.77,8.52,Completed,2024-08-21 23:14:18.529146
OC000097,2024-05-06 14:18:56.010974,SUP0031,AN005,8,14296601.31,15417747.33,1121146.02,7.84,Completed,2024-06-04 14:18:56.010974
OC000098,2024-06-24 04:16:54.801165,SUP0007,AN008,1,883219.84,1023143.87,139924.03,15.84,Completed,2024-07-12 04:16:54.801165
OC000099,2024-11-03 02:52:20.850504,SUP0002,AN006,2,839100.6,982026.75,142926.15,17.03,Completed,2024-11-22 02:52:20.850504
OC000100,2024-07-02 03:13:31.626668,SUP0014,AN008,3,1517808.15,1838504.44,320696.29,21.13,Completed,2024-07-27 03:13:31.626668
OC000101,2024-02-10 01:44:46.071501,SUP0029,AN002,8,7622654.1,9184332.4,1561678.3,20.49,Completed,2024-02-15 01:44:46.071501
OC000102,2024-04-11 13:31:34.390606,SUP0040,AN003,3,3524588.11,3772036.87,247448.76,7.02,Completed,2024-04-24 13:31:34.390606
OC000103,2024-12-23 14:38:42.605478,SUP0025,AN003,15,24290300.6,28365970.89,4075670.29,16.78,Completed,2025-01-07 14:38:42.605478
OC000104,2024-09-08 00:21:12.487342,SUP0050,AN004,2,3008571.5,3573279.43,564707.93,18.77,Completed,2024-09-16 00:21:12.487342
OC000105,2024-07-07 18:47:15.640123,SUP0043,AN004,1,331223.1,347903.36,16680.26,5.04,Pending,2024-08-06 18:47:15.640123
OC000106,2024-02-23 16:28:02.055171,SUP0014,AN005,8,12975756.61,15092232.91,2116476.3,16.31,Pending,2024-03-01 16:28:02.055171
OC000107,2024-08-21 02:30:07.902636,SUP0037,AN004,15,23370416.02,24592200.9,1221784.88,5.23,Completed,2024-08-31 02:30:07.902636
OC000108,2024-07-14 19:00:07.908220,SUP0004,AN006,2,1588446.72,1917896.93,329450.21,20.74,Completed,2024-07-18 19:00:07.908220
OC000109,2024-04-28 15:31:47.233468,SUP0009,AN002,15,19145212.38,23005819.73,3860607.35,20.16,Completed,2024-05-06 15:31:47.233468
OC000110,2024-08-21 14:01:35.319594,SUP0038,AN006,2,180980.63,190756.41,9775.78,5.4,Completed,2024-08-27 14:01:35.319594
OC000111,2024-10-16 01:33:14.273097,SUP0038,AN004,5,2201104.49,2633394.85,432290.36,19.64,Completed,2024-10-29 01:33:14.273097
OC000112,2024-10-25 21:39:24.854873,SUP0037,AN008,5,5602587.34,6938739.72,1336152.38,23.85,Completed,2024-11-16 21:39:24.854873
OC000113,2024-12-11 18:36:52.601489,SUP0013,AN006,5,2511641.05,3126690.92,615049.87,24.49,Pending,2025-01-05 18:36:52.601489
OC000114,2024-10-14 07:38:34.461053,SUP0017,AN004,5,10091542.34,11929409.78,1837867.44,18.21,Completed,2024-10-24 07:38:34.461053
OC000115,2024-01-28 22:03:47.998317,SUP0021,AN006,2,3456170.72,4008924.84,552754.12,15.99,Pending,2024-02-04 22:03:47.998317
OC000116,2024-01-25 14:09:07.613812,SUP0028,AN002,25,24443620.91,26961335.36,2517714.45,10.3,Pending,2024-02-02 14:09:07.613812
OC000117,2024-01-24 08:49:36.205816,SUP0034,AN002,1,284262.24,348817.78,64555.54,22.71,Completed,2024-02-01 08:49:36.205816
OC000118,2024-03-24 18:43:27.023662,SUP0038,AN003,15,18748490.14,20975028.53,2226538.39,11.88,Pending,2024-04-20 18:43:27.023662
OC000119,2024-12-10 04:52:06.019552,SUP0022,AN007,2,3897770.54,4524221.71,626451.17,16.07,Pending,2025-01-08 04:52:06.019552
OC000120,2024-12-13 20:41:36.556472,SUP0047,AN002,15,25084786.72,30856570.69,5771783.97,23.01,Completed,2024-12-19 20:41:36.556472
OC000121,2024-01-24 18:54:08.878884,SUP0028,AN001,3,2597898.91,3232911.07,635012.16,24.44,Completed,2024-01-31 18:54:08.878884
OC000122,2024-05-01 13:38:24.433739,SUP0045,AN006,15,14107999.97,16371076.07,2263076.1,16.04,Completed,2024-05-20 13:38:24.433739
OC000123,2024-07-24 22:04:43.101363,SUP0045,AN001,3,3204319.4,3741091.66,536772.26,16.75,Pending,2024-07-30 22:04:43.101363
OC000124,2024-10-04 06:45:37.604011,SUP0025,AN002,3,2379555.72,2768181.87,388626.15,16.33,Completed,2024-10-10 06:45:37.604011
OC000125,2024-08-20 05:53:23.152715,SUP0029,AN008,8,6160878.77,7067248.52,906369.75,14.71,Pending,2024-08-24 05:53:23.152715
OC000126,2024-09-27 23:56:16.534965,SUP0008,AN006,15,18618032.05,22977760.7,4359728.65,23.42,Completed,2024-09-30 23:56:16.534965
OC000127,2024-03-01 23:13:37.232874,SUP0002,AN004,5,3892281.91,4754994.35,862712.44,22.16,Completed,2024-03-31 23:13:37.232874
OC000128,2024-05-24 05:38:20.220430,SUP0014,AN006,5,4368991.05,4822859.3,453868.25,10.39,Pending,2024-06-15 05:38:20.220430
OC000129,2024-03-06 12:09:00.289477,SUP0036,AN008,1,882954.5,1005105.36,122150.86,13.83,Pending,2024-04-01 12:09:00.289477
OC000130,2024-12-14 05:02:47.691907,SUP0033,AN004,15,15453602.36,18944053.72,3490451.36,22.59,Completed,2024-12-22 05:02:47.691907
OC000131,2024-09-29 13:14:51.838888,SUP0003,AN006,1,957064.68,1165126.08,208061.4,21.74,Completed,2024-10-03 13:14:51.838888
OC000132,2024-08-05 11:54:41.872313,SUP0010,AN005,3,4356421.28,4812954.62,456533.34,10.48,Pending,2024-08-24 11:54:41.872313
OC000133,2024-01-29 02:22:49.255515,SUP0032,AN003,2,1307600.48,1380973.39,73372.91,5.61,Completed,2024-02-16 02:22:49.255515
OC000134,2024-01-05 07:51:05.680953,SUP0016,AN008,3,5200244.84,6033671.15,833426.31,16.03,Completed,2024-01-13 07:51:05.680953
OC000135,2024-04-22 07:28:08.787461,SUP0013,AN006,3,8655706.28,9244972.78,589266.5,6.81,Completed,2024-05-07 07:28:08.787461
OC000136,2024-11-15 08:54:18.212828,SUP0011,AN001,2,7011654.84,8715371.43,1703716.59,24.3,Completed,2024-12-08 08:54:18.212828
OC000137,2024-01-04 10:40:11.210886,SUP0016,AN008,15,18636714.21,22553647.63,3916933.42,21.02,Completed,2024-01-15 10:40:11.210886
OC000138,2024-12-15 01:40:50.303916,SUP0026,AN002,15,25618056.89,29566505.99,3948449.1,15.41,Pending,2025-01-05 01:40:50.303916
OC000139,2024-09-01 12:45:16.205833,SUP0015,AN002,3,1411967.94,1764798.79,352830.85,24.99,Completed,2024-09-21 12:45:16.205833
OC000140,2024-12-26 12:49:41.861076,SUP0040,AN005,8,13007891.51,16229584.53,3221693.02,24.77,Completed,2025-01-25 12:49:41.861076
OC000141,2024-06-24 08:42:27.387841,SUP0012,AN007,8,8815611.41,10168443.83,1352832.42,15.35,Completed,2024-06-28 08:42:27.387841
OC000142,2024-03-26 16:11:56.221964,SUP0038,AN008,2,2391554.25,2827070.78,435516.53,18.21,Completed,2024-04-21 16:11:56.221964
OC000143,2024-06-16 00:44:46.891516,SUP0019,AN007,25,22929562.08,25452707.38,2523145.3,11.0,Completed,2024-07-15 00:44:46.891516
OC000144,2024-04-23 16:08:17.769657,SUP0020,AN001,1,262263.6,284877.85,22614.25,8.62,Completed,2024-05-11 16:08:17.769657
OC000145,2024-11-25 01:52:30.813883,SUP0003,AN003,5,10337743.23,12812440.54,2474697.31,23.94,Completed,2024-12-18 01:52:30.813883
OC000146,2024-09-27 11:29:50.166123,SUP0031,AN004,50,57452875.43,60992128.69,3539253.26,6.16,Pending,2024-10-08 11:29:50.166123
OC000147,2024-12-18 00:23:43.120744,SUP0001,AN004,3,3222800.83,3492617.43,269816.6,8.37,Completed,2025-01-05 00:23:43.120744
OC000148,2024-05-29 14:01:26.929730,SUP0045,AN005,1,324872.0,346836.03,21964.03,6.76,Pending,2024-06-21 14:01:26.929730
OC000149,2024-08-21 15:56:14.677728,SUP0028,AN004,8,12955565.73,14120048.9,1164483.17,8.99,Completed,2024-08-24 15:56:14.677728
OC000150,2024-10-10 13:34:32.903713,SUP0021,AN006,3,4827205.7,5085862.95,258657.25,5.36,Completed,2024-11-02 13:34:32.903713
OC000151,2024-03-01 10:14:23.043164,SUP0002,AN007,8,7709892.48,8686813.69,976921.21,12.67,Completed,2024-03-09 10:14:23.043164
OC000152,2024-01-18 19:09:51.150070,SUP0042,AN006,59,66640221.39,72013117.2,5372895.81,8.06,Completed,2024-01-30 19:09:51.150070
OC000153,2024-03-05 01:02:41.795988,SUP0039,AN006,2,441377.77,509377.24,67999.47,15.41,Completed,2024-03-21 01:02:41.795988
OC000154,2024-11-11 09:43:12.109682,SUP0031,AN005,2,3493569.8,4170460.29,676890.49,19.38,Completed,2024-11-23 09:43:12.109682
OC000155,2024-06-15 16:05:23.454426,SUP0028,AN004,2,932209.36,1071619.23,139409.87,14.95,Completed,2024-07-12 16:05:23.454426
OC000156,2024-05-18 03:02:30.644072,SUP0026,AN002,1,1557609.02,1894519.48,336910.46,21.63,Completed,2024-06-01 03:02:30.644072
OC000157,2024-08-30 18:32:00.485954,SUP0031,AN002,3,2914374.56,3153571.04,239196.48,8.21,Pending,2024-09-08 18:32:00.485954
OC000158,2024-07-09 22:56:03.250607,SUP0022,AN001,8,6335035.39,7710032.22,1374996.83,21.7,Pending,2024-07-16 22:56:03.250607
OC000159,2024-07-26 12:55:39.122161,SUP0020,AN002,3,3455265.48,3679891.05,224625.57,6.5,Completed,2024-08-06 12:55:39.122161
OC000160,2024-05-15 01:08:00.685078,SUP0017,AN001,8,5361731.47,6543723.76,1181992.29,22.04,Completed,2024-06-12 01:08:00.685078
OC000161,2024-11-18 01:47:26.552276,SUP0014,AN001,2,4586696.65,4922352.08,335655.43,7.32,Completed,2024-11-21 01:47:26.552276
OC000162,2024-07-11 23:55:37.577750,SUP0024,AN008,3,5048750.18,5633052.97,584302.79,11.57,Pending,2024-08-02 23:55:37.577750
OC000163,2024-11-13 20:25:40.982882,SUP0003,AN008,2,1479269.72,1663474.94,184205.22,12.45,Completed,2024-11-21 20:25:40.982882
OC000164,2024-08-16 09:54:51.083140,SUP0015,AN008,5,4249211.48,5184608.74,935397.26,22.01,Pending,2024-09-08 09:54:51.083140
OC000165,2024-01-02 18:18:29.336928,SUP0013,AN007,1,390379.88,418725.87,28345.99,7.26,Completed,2024-02-01 18:18:29.336928
OC000166,2024-10-22 22:30:15.354555,SUP0049,AN006,3,2934533.12,3552114.29,617581.17,21.05,Pending,2024-10-30 22:30:15.354555
OC000167,2024-06-09 02:46:29.796581,SUP0002,AN002,25,39698766.37,46262155.54,6563389.17,16.53,Completed,2024-07-03 02:46:29.796581
OC000168,2024-08-30 21:09:59.392497,SUP0001,AN001,2,4243723.05,5040050.59,796327.54,18.76,Completed,2024-09-15 21:09:59.392497
OC000169,2024-10-23 05:03:01.377357,SUP0045,AN002,5,6249190.0,7391180.28,1141990.28,18.27,Pending,2024-10-30 05:03:01.377357
OC000170,2024-08-07 04:49:28.823729,SUP0010,AN006,8,8579192.0,10469824.83,1890632.83,22.04,Completed,2024-08-12 04:49:28.823729
OC000171,2024-10-12 02:38:07.402550,SUP0045,AN008,15,15865211.27,19200907.76,3335696.49,21.03,Pending,2024-10-17 02:38:07.402550
OC000172,2024-06-10 07:50:52.115110,SUP0030,AN005,2,1196264.39,1284478.57,88214.18,7.37,Pending,2024-07-06 07:50:52.115110
OC000173,2024-10-18 00:26:31.345073,SUP0001,AN001,15,17381668.82,20526346.38,3144677.56,18.09,Pending,2024-10-31 00:26:31.345073
OC000174,2024-11-14 09:04:03.503564,SUP0036,AN002,5,4840065.84,5624302.53,784236.69,16.2,Pending,2024-12-09 09:04:03.503564
OC000175,2024-10-31 16:24:48.992694,SUP0046,AN006,5,6241831.57,7376484.51,1134652.94,18.18,Completed,2024-11-13 16:24:48.992694
OC000176,2024-10-23 05:26:12.318810,SUP0013,AN004,1,1719990.6,2091468.63,371478.03,21.6,Completed,2024-11-12 05:26:12.318810
OC000177,2024-06-24 15:09:44.624871,SUP0034,AN004,3,5475532.78,5865743.59,390210.81,7.13,Completed,2024-07-12 15:09:44.624871
OC000178,2024-12-29 00:38:29.031500,SUP0028,AN002,1,619309.98,752070.06,132760.08,21.44,Pending,2025-01-04 00:38:29.031500
OC000179,2024-04-21 18:20:08.828749,SUP0032,AN008,2,787983.3,846411.6,58428.3,7.41,Pending,2024-04-30 18:20:08.828749
OC000180,2024-02-01 16:20:05.298639,SUP0044,AN004,2,2698001.58,3219680.64,521679.06,19.34,Completed,2024-02-28 16:20:05.298639
OC000181,2024-02-01 17:28:32.346681,SUP0028,AN004,15,23295795.75,26931637.44,3635841.69,15.61,Completed,2024-02-21 17:28:32.346681
OC000182,2024-04-22 20:53:18.066044,SUP0030,AN006,25,28908719.96,35925407.11,7016687.15,24.27,Completed,2024-05-09 20:53:18.066044
OC000183,2024-04-27 05:16:23.247232,SUP0001,AN003,8,18208535.87,21113911.6,2905375.73,15.96,Completed,2024-05-22 05:16:23.247232
OC000184,2024-08-21 22:34:38.836570,SUP0021,AN004,2,2966074.56,3489636.13,523561.57,17.65,Completed,2024-08-30 22:34:38.836570
OC000185,2024-05-06 08:40:18.484415,SUP0010,AN006,50,57950370.47,69582098.69,11631728.22,20.07,Completed,2024-05-20 08:40:18.484415
OC000186,2024-04-18 05:11:51.250584,SUP0043,AN006,15,30031609.57,35524352.33,5492742.76,18.29,Pending,2024-05-03 05:11:51.250584
OC000187,2024-02-08 00:49:43.460793,SUP0032,AN003,25,43573044.95,54155105.96,10582061.01,24.29,Completed,2024-02-25 00:49:43.460793
